"customer_city","customer_state","customer_count","total_revenue","avg_revenue_per_customer"
porangatu,GO,13,2162.74,166.3646153846153846
santa rosa de viterbo,SP,14,2159.19,154.2278571428571429
belo jardim,PE,12,2157.69,179.8075000000000000
jandaia do sul,PR,8,2156.75,269.5937500000000000
cafelandia,PR,13,2141.50,164.7307692307692308
maragogi,AL,5,2135.53,427.1060000000000000
eldorado do sul,RS,15,2127.04,141.8026666666666667
charqueadas,RS,17,2125.02,125.0011764705882353
osvaldo cruz,SP,16,2124.36,132.7725000000000000
nova granada,SP,19,2122.45,111.7078947368421053
palmital,SP,18,2122.03,117.8905555555555556
ceres,GO,7,2116.38,302.3400000000000000
esperanca,PB,6,2108.09,351.3483333333333333
engenheiro navarro,MG,1,2106.55,2106.5500000000000000
fartura,SP,10,2106.41,210.6410000000000000
cajati,SP,16,2100.69,131.2931250000000000
ipua,SP,4,2096.16,524.0400000000000000
passa quatro,MG,10,2092.36,209.2360000000000000
casa nova,BA,7,2092.32,298.9028571428571429
niquelandia,GO,14,2085.86,148.9900000000000000
bom jesus dos perdoes,SP,18,2083.93,115.7738888888888889
sao joao batista,SC,10,2080.58,208.0580000000000000
quatro barras,PR,18,2079.83,115.5461111111111111
parnamirim,PE,4,2079.47,519.8675000000000000
camocim,CE,8,2078.27,259.7837500000000000
eloi mendes,MG,10,2077.95,207.7950000000000000
buritis,MG,14,2075.62,148.2585714285714286
santo amaro,BA,10,2066.74,206.6740000000000000
agrestina,PE,1,2066.34,2066.3400000000000000
pariquera-acu,SP,15,2065.21,137.6806666666666667
iturama,MG,15,2064.08,137.6053333333333333
santa vitoria do palmar,RS,12,2049.67,170.8058333333333333
esmeraldas,MG,14,2043.24,145.9457142857142857
sape,PB,2,2042.83,1021.4150000000000000
loanda,PR,13,2042.79,157.1376923076923077
itaocara,RJ,16,2042.50,127.6562500000000000
leopoldina,MG,17,2038.21,119.8947058823529412
camaqua,RS,13,2037.22,156.7092307692307692
itamarandiba,MG,8,2036.27,254.5337500000000000
conceicao de macabu,RJ,13,2035.17,156.5515384615384615
pinhalao,PR,7,2032.35,290.3357142857142857
auriflama,SP,10,2029.77,202.9770000000000000
mangueirinha,PR,9,2022.94,224.7711111111111111
miracema,RJ,19,2021.97,106.4194736842105263
redencao,PA,13,2017.54,155.1953846153846154
guaratuba,PR,9,2017.31,224.1455555555555556
paranaita,MT,4,2016.47,504.1175000000000000
sao francisco do sul,SC,17,2012.77,118.3982352941176471
bandeirantes,PR,13,2005.85,154.2961538461538462
canaa dos carajas,PA,9,1991.36,221.2622222222222222
castelo,ES,18,1990.94,110.6077777777777778
ampere,PR,9,1985.95,220.6611111111111111
parobe,RS,12,1985.07,165.4225000000000000
itaguacu,ES,7,1972.99,281.8557142857142857
pontes e lacerda,MT,9,1972.90,219.2111111111111111
sao joao do piaui,PI,6,1972.72,328.7866666666666667
itai,SP,10,1972.66,197.2660000000000000
carmo do rio claro,MG,9,1969.53,218.8366666666666667
sao joaquim de bicas,MG,8,1965.51,245.6887500000000000
alto paraiso de goias,GO,9,1963.35,218.1500000000000000
santa ines,MA,12,1956.91,163.0758333333333333
alvorada,TO,6,1954.44,325.7400000000000000
aperibe,RJ,13,1953.69,150.2838461538461538
brejo santo,CE,10,1949.35,194.9350000000000000
faxinal dos guedes,SC,11,1948.77,177.1609090909090909
piraquara,PR,14,1947.24,139.0885714285714286
abaete,MG,12,1946.81,162.2341666666666667
mantena,MG,11,1946.55,176.9590909090909091
lagoa da prata,MG,11,1945.70,176.8818181818181818
ipojuca,PE,17,1945.20,114.4235294117647059
ibate,SP,13,1944.12,149.5476923076923077
palmeira das missoes,RS,16,1943.52,121.4700000000000000
bocaiuva,MG,13,1943.22,149.4784615384615385
catende,PE,7,1941.68,277.3828571428571429
paranaiba,MS,15,1937.59,129.1726666666666667
ourilandia do norte,PA,5,1934.35,386.8700000000000000
cangucu,RS,15,1932.59,128.8393333333333333
carmo do cajuru,MG,10,1932.42,193.2420000000000000
xaxim,SC,10,1928.25,192.8250000000000000
morro da fumaca,SC,7,1921.45,274.4928571428571429
santa fe de goias,GO,4,1921.27,480.3175000000000000
itajobi,SP,10,1915.73,191.5730000000000000
ronda alta,RS,6,1914.31,319.0516666666666667
chapadao do sul,MS,14,1913.41,136.6721428571428571
porto nacional,TO,8,1911.38,238.9225000000000000
camamu,BA,9,1897.51,210.8344444444444444
itamaraju,BA,12,1883.32,156.9433333333333333
lagoa vermelha,RS,14,1883.04,134.5028571428571429
itatiaia,RJ,18,1882.29,104.5716666666666667
sao gabriel da palha,ES,14,1874.73,133.9092857142857143
sao jose de ribamar,MA,14,1870.87,133.6335714285714286
taquari,RS,11,1870.86,170.0781818181818182
mariental,PR,1,1867.85,1867.8500000000000000
montanha,ES,10,1862.77,186.2770000000000000
santa adelia,SP,15,1861.06,124.0706666666666667
paraguacu,MG,13,1857.10,142.8538461538461538
coxim,MS,11,1854.62,168.6018181818181818
campos sales,CE,4,1853.78,463.4450000000000000
tambau,SP,20,1853.45,92.6725000000000000
